Province,Violations,Statistics,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Newfoundland and Labrador,Total violent Criminal Code violations [100]  (16),Actual incidents,6974,7740,7794,7340,7220,7331,7043,6839,6685,7528,7748,7681,7950,7833,7917,7331,6650,7204
Newfoundland and Labrador,Total violent Criminal Code violations [100]  (16),"Rate per 100,000 population",1291.64,1451.04,1476.02,1406.04,1389.71,1413.83,1361.11,1329.61,1309.29,1478.87,1514.63,1486.47,1523.07,1491.89,1502.58,1388.4,1256.92,1365.02
Newfoundland and Labrador,Total violent Criminal Code violations [100]  (16),"Rate, total persons charged per 100,000 population aged 12 years and over (31)",478.9,612.74,643.7,614.14,554.87,570.96,498.68,474.74,476.8,536.37,564.96,572.23,560.75,542.52,567.43,556.76,509.36,501.47
Newfoundland and Labrador,Total violent Criminal Code violations [100]  (16),"Rate, adult charged per 100,000 population aged 18 years and over (31)",433.47,555.99,579.53,551.59,491.66,520.48,466.08,445.19,437.78,494.02,520.74,544.97,541.64,513.4,545.66,531.26,493.59,475.93
Newfoundland and Labrador,Total violent Criminal Code violations [100]  (16),"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",856.11,1098.1,1210.18,1185.29,1149.48,1059.58,824.61,778.08,890.33,998.25,1068.52,893.58,793.24,906.4,845.93,891.83,721.6,848.73
Newfoundland and Labrador,Total property crime violations [200] ,Actual incidents,19370,18075,18360,17865,18966,20094,20861,19946,20285,20747,19740,20529,21045,19976,18844,18759,17365,18151
Newfoundland and Labrador,Total property crime violations [200] ,"Rate per 100,000 population",3587.49,3388.58,3476.99,3422.2,3650.6,3875.26,4031.52,3877.81,3972.9,4075.72,3858.91,3972.88,4031.83,3804.68,3576.42,3552.73,3282.18,3439.28
Newfoundland and Labrador,Total property crime violations [200] ,"Rate, total persons charged per 100,000 population aged 12 years and over (31)",894.01,754.41,710.2,757.82,669.06,713.54,722.74,626.59,537.6,537.93,526.25,571.57,580.46,598.06,547.92,540.94,509.58,534.17
Newfoundland and Labrador,Total property crime violations [200] ,"Rate, adult charged per 100,000 population aged 18 years and over (31)",626.42,558.42,522.31,520.29,495.57,565.63,585.32,528.02,426.61,454.94,449.03,511.72,537.42,560.83,519.55,509.4,494.05,519.53
Newfoundland and Labrador,Total property crime violations [200] ,"Rate, youth charged per 100,000 population aged 12 to 17 years (31)",3115.66,2430.77,2368.77,2926.4,2301.25,2145.01,2096.58,1638.2,1713.76,1443.1,1405.52,1277.35,1104.26,1063.27,911,955.32,718.51,733.28
